,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
2828,"Mies, joka ei osannut sanoa EI","Comedy, Romance",6.6,A young priest returns from America to work in an old Helsinki neighbourhood with idyllic wooden houses. The shy but handsome bachelor is assigned the duty of marriage counseling but is ...                See full summary »,Risto Jarva,361,N/A,summer
2829,Anjo,"Short, Drama",6.6,"Lisbon; after another blistering summer, Miguel finds himself in a deep jadedness. An improvised party erupts at his apartment awakening the memory of a passion.",Miguel Nunes,31,N/A,summer
2830,Zingo,Comedy,5.6,A comedy about a young man with a tendency to screw things up. After years of unhealthy living he is looking for calm and rest. But first he has to deal with a drug-dealing debt. He teams ...                See full summary »,Christjan Wegner,968,N/A,summer
2831,One Summer Night,"Drama, Romance",6.1,"Before heading off to college, an overthinking teenager asks out a former girlfriend in an effort to reconnect and hold on to his past.",Conner Keesling,37,N/A,summer
2832,Un'estate al mare,Comedy,4.3,"The story is divided into seven parts focused on holiday, sun and sea.",Carlo Vanzina,484,N/A,summer
2833,Stand Up!!,N/A,7.2,"As the summer holidays begin, four boys find themselves the last virgins at their school, so they'll face parents, teachers, childhood friends, crushes and their own awkwardness in their subsequent attempts to lose their virginity.",Kazunari Ninomiya,808,N/A,summer
2834,Niskavuoren naiset,"Drama, Romance",6.5,The first Finnish talking picture (with English subtitles) to be released in the United States is a story of the conflict between the old and new orders of living. Tauno Palo marries Irja ...                See full summary »,Valentin Vaala,129,N/A,summer
2835,Buenos Aires 100 kilómetros,Drama,6.5,"An Argentine ""Stand By Me"", Buenos Aires KM 100 is a touching story about five friends growing from childhood into adolescence. The small quiet town they live in doesn't have much to offer and can't fulfill their curiosity.",Pablo José Meza,344,N/A,summer
2836,Aerosmith: Girls of Summer,"Comedy, Music",7.2,"A promotional video for Aerosmith's 2002 single ""Girls of Summer.""",Dave Meyers,38,N/A,summer
2837,You're Only Young Once,"Comedy, Family, Romance",6.5,"On vacation with his family on California's Catalina Island, Andy Hardy falls head over swim fins for a sophisticated young beauty. Judge Hardy warns his son that she is too fast for him.",George B. Seitz,497,N/A,summer
2838,Blodsbrødre,"Comedy, Drama",5.6,A father and son reunites for a summer vacation after the tragic loss of their cancer ill mother and ex-wife.,Marius Pinnås,12,N/A,summer
2839,In Her Place,Drama,6.7,A weathered woman and her odd teen-aged daughter live in isolation on a desolate farm in South Korea. An affluent city woman comes to them seeking help with a sensitive matter and the three...                See full summary »,Albert Shin,166,N/A,summer
2840,Tell It to the Judge,"Comedy, Romance",6.4,"Marsha Meredith, an attorney-at-law, is nominated for a Federal judgeship but her nomination is opposed by a 'Good-Government' group who think her divorce makes her unfit for the job. This ...                See full summary »",Norman Foster,421,N/A,summer
2841,Gnade,Drama,6.7,A struggling German couple starts finding each other again after keeping as a secret about being responsible for a horrific accident.,Matthias Glasner,991,N/A,summer
2842,Aru Zonbi Shoujo no Sainan,"Animation, Fantasy, Horror",5.4,"After a group of students steals a magic stone found inside a coffin where a mommy rests, this one and her friend in a contiguous coffin wakes up and in search of the stone creates mayhem everywhere.",Hideaki Iwami,94,N/A,summer
2843,Mano po,Drama,6.2,"During the Chinese Revolution in 1949, a young Chinese copra trader named Fong-Huan marries Elisa, a young and pretty Filipina. The couple's children, Daniel and Linda, were raised in a ...                See full summary »",Joel Lamangan,125,N/A,summer
2844,Miroirs d'été,"Short, Drama",5.8,"Julian is a melancholic teenager on holiday at the family cottage. Parents, brother, lakeside, and a world that seems out-of-place. Coming-of-age in Summertime.",Etienne Desrosiers,297,N/A,summer
2845,Zhest,"Crime, Horror, Thriller",5.1,Journalist Marina after an unpleasant professional incident decides to leave journalism. But her editor agrees to this only if Marina makes her last report on a maniac teacher who is in a ...                See full summary »,Denis Neymand,784,N/A,summer
2846,Åsa-Nisse jubilerar,Comedy,4.2,The local newspaper celebrates 50 years and are now looking for a citizen who has lived as long in the neighborhood. Our hero Åsa-Nisse seems to fit the profile.,Ragnar Frisk,82,N/A,summer
2847,Clever Girl,"Crime, Romance, Thriller",8.8,"The story of a desperate writer's participation in her lover's brutal pastime, and the ripple effect their dark secret has on the troubled lives of besieged detectives and voyeuristic neighbors.",Kip Bennett,76,N/A,summer
2848,Ane-eui aein-eul mannada,Drama,6.2,"After realizing that his wife has been cheating on him, mild-mannered stamp maker Tae-han leaves his small seaside town of Naksan determined to track down his wife's lover, a taxicab driver from Seoul named Joong-sik.",Tai-sik Kim,285,N/A,summer
2849,Pussikaljaelokuva,"Comedy, Drama",5.4,Three outcast young men get increasingly drunk when they wander around on a hot summer day trying to find something to do.,Ville Jankeri,1352,N/A,summer
2850,Cara de queso - Mi primer ghetto -,"Comedy, Drama",6.0,Year 1993. Ariel and his family spend their summers in an idyllic Jewish country club. An exploration into the ties that bind in an Argentinean Jewish community.,Ariel Winograd,529,N/A,summer
2851,Aquí No Ha Pasado Nada,Drama,6.5,Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.,Alejandro Fernández Almendras,711,N/A,summer
2852,Ved Kongelunden...,"Comedy, Musical, Romance",6.8,The good people of a small community in the countryside near Copenhagen enjoy life and find their way to love.,Poul Bang,275,N/A,summer
2853,Tre somre,"Short, Comedy, Drama",6.6,"Jørgen lives abroad but every summer he comes back to Denmark with his wife. He invites, as usual, his neighbours and their teenager son, Thomas, for dinner at his place. Only, this time, ...                See full summary »",Carlos Augusto de Oliveira,292,N/A,summer
2854,Hilja - maitotyttö,"Drama, Romance",5.8,"The farm girl Hilja falls meet Yrjö, a student visiting the country side. They fall madly in love, which leads to consequences.",T.J. Särkkä,179,N/A,summer
2855,A Very Serious Person,Drama,6.5,A coming-of-age tale about a showtunes- and old Hollywood-obsessed boy and his effete Danish mentor. The two bond and teach each other lessons about self-acceptance over the course of one magical summer on the Jersey Shore.,Charles Busch,432,N/A,summer
2856,"Un soir, une nuit ... et puis?","Comedy, Drama, Romance",N/A,"Fabien, a French singer, and Mathias, an artist from Germany, meet at a party and feel an immediate attraction towards each other. Unfortunately, they don't have much time to figure out if there's any chance for them to connect.",Alexandre Vallès,N/A,N/A,summer
2857,A Floresta das Almas Perdidas,"Drama, Horror, Mystery",5.3,"The Forest of the Lost Souls is a dense and remote forest, Portugal's most popular place for suicide. On a summer morning, two strangers meet within the woods.",José Pedro Lopes,587,N/A,summer
2858,Saraba natsu no hikari,"Drama, Romance",6.8,"A spontaneous romance blooms between Kawamura, a professor touring Europe, and Naoko, a married woman living in Paris, scarred by the Nagasaki atomic bombings. The two protagonists travel around Europe trying to find themselves.",Yoshishige Yoshida,246,N/A,summer
2859,Arne Dahl: En midsommarnattsdröm,"Action, Crime, Thriller",6.2,A series of brutal murders of Polish women hiding out in Sweden is the new A Unit's first assignment. The victims turn out to be key witnesses in a big case against the Polish mafia. Three ...                See full summary »,Malin Mases Arvidsson,633,N/A,summer
2860,"Why Lie? Beer, Woman, Chicken Wings","Adventure, Comedy",N/A,"Donald, Buster, and Mutt try to keep cool during the hottest summer in Texas history.",Wilson West,N/A,N/A,summer
2861,Everybody Calls Redjo,"Comedy, Drama",N/A,"The village of Sllupkovo has a large emigration, mostly of young people seeking work abroad. The village is mostly populated by older and middle-aged individuals and lacks workers. Redjo, a...                See full summary »",Ibër Deari,N/A,N/A,summer
2862,Il gabbiano,"Comedy, Drama",6.1,This quintessential Chekhov drama--his first success--is both comic and tragic. A group of friends and relations gather at a country estate to see the first performance of an experimental ...                See full summary »,Marco Bellocchio,90,N/A,summer
2863,And Then Came Summer,Drama,4.6,"A reunion of family and friends becomes an unforgettable vacation when two teenage boys discover their feelings for each other, only to be found out by their families.",Jeff London,477,N/A,summer
2864,John From,Drama,6.4,"Bored by spending the summer in the city, 15-year-old Rita decides to take a fancy to her new neighbor, a photographer who is setting up an exhibit of his shots in Melanesia. What starts as...                See full summary »",João Nicolau,527,N/A,summer
2865,Domenica d'agosto,"Comedy, Drama",6.9,"A variety of different people, both adults, children, families, young lovers and youth gangs, spend a Sunday at the beach of Ostia outside Rome.",Luciano Emmer,581,N/A,summer
2866,Scouts Honor,"Comedy, Family",2.2,Scout's Honor is the story of David and Tim Appleorchard who work for their dad at Camp Bear Claw. They care about three things: Making sure their evil older brother doesn't take over the ...                See full summary »,Jesse Bryan,182,N/A,summer
2867,Last Day of Summer,Drama,8.3,A young woman moves into a hippy commune and spends an idyllic summer with the young brother of one of the residents.,Derek Banham,52,N/A,summer
2868,Made in Chelsea: LA,Reality-TV,5.7,The Chelsea elite decide on a change of scenery and head out to Los Angeles for one big summer party,Georgia Toffolo,70,N/A,summer
2869,My Friend Joe,"Drama, Family",6.6,"During the course of one summer, a young Irish lad named Chris befriends an American boy named Joe. The two couldn't be more different, yet they become inseparable. Things turn horribly ...                See full summary »",Chris Bould,294,N/A,summer
2870,Yomanei HaChofesh HaGadol,"Comedy, Drama",7.6,"The series tells the story of Dana, Dafi, Elinor, and Tamar. four girls that are best friends who swear that nothing will separate them in the summer of love, excitement and fun.",Carmel Lotan,11,N/A,summer
2871,Turkles,Family,5.7,"Featuring a young Noah Centineo, this family adventure film follows a group of curious kids from Camp Loggerhead as they embark on an adventure to solve the mystery of the missing sea turtle eggs.",Frank Eberling,71,N/A,summer
2872,Aozora,N/A,5.1,Add a Plot,Takahisa Zeze,14,N/A,summer
2873,Gnomercy,"Comedy, Horror",4.1,A late summer trip to the cottage turns into a bloodbath when a group of friends are stalked by an unlikely killer.,Colin Jeffrey,66,N/A,summer
2874,Terre des ours,Documentary,7.0,"Set in the wilderness of the Kamchatka Peninsula, the land of legends and the kingdom of wild brown bears, we follow the daily adventures of five wild brown bears.",Guillaume Vincent,372,N/A,summer
2875,Danganronpa S: Ultimate Summer Camp,"Adventure, Comedy",5.2,"With an all-star dream lineup of characters from each Danganronpa game, gather Hope Fragments at a tropical resort. Explore Jabberwock Island and develop your Dangan characters.",N/A,11,N/A,summer
2876,5 Seconds of Summer: So Perfect,"Documentary, Music",7.7,"5 Seconds of Summer are not just another boy band - Luke, Michael, Calum and Ashton- have risen from obscurity to mega-stardom and this biography traces the rise of 5SOS from their humble beginnings in Sydney, to sell-out stadium rockers.",Sonia Anderson,89,N/A,summer
2877,Havukka-ahon ajattelija,"Comedy, Drama",6.8,"Self-taught philosopher Konsta Pylkkänen guides a group of researchers through Finland's Kainuu wilderness in the hopes of having a ""sinistä ajatusta"", idea out of the blue. While firing ...                See full summary »",Kari Väänänen,533,N/A,summer
2878,O roz gatos,Comedy,7.2,"During the day, he is a polite and chaste high-school scholar. But, when he sleepwalks at night under a different personality, he becomes the cool guy in his dreams, utterly unaware of his scandalous shenanigans, and his double identity.",Yiannis Hartomatzidis,826,N/A,summer
2879,Kreivi,"Biography, Comedy, Drama",5.3,"Sleazy impostor, then dance-band singer Pertti Ylermi Lindgren merrily re-enacts some of his real-life engagements to 76 different women in the late 1960s. After posing as an aristocrat, ...                See full summary »",Peter von Bagh,207,N/A,summer
2880,Kaleldo,Drama,6.3,"The story is set in Guagua, Pampanga a decade after the eruption of Mt. Pinatubo which ravaged the province with lahar. It follows the lives of woodcarver Rodolfo ""Mang Rudy"" Manansala and ...                See full summary »",Brillante Mendoza,86,N/A,summer
2881,Summerdate,"Game-Show, Reality-TV, Romance",N/A,Add a Plot,Ann Van Elsen,N/A,N/A,summer
2882,Flyvende farmor,Family,5.1,"The girl Eva's parents are too busy at their jobs in the airport to go on summer vacation with her, so she decides to go with her grandmother in the attempt to find Eva's grandfather Åge, who used to be a pilot.",Steen Rasmussen,394,N/A,summer
2883,Forest monster,"Comedy, Horror, Sci-Fi",8.7,Reporter Viktor Barinov makes his first documentary about a monster that lives in the Moscow region. What he finds will be a real shock.,Sergey A.,468,N/A,summer
2884,Me Rosvolat,"Adventure, Family",5.0,A teenager is accidentally abducted by a family of bandits.,Marjut Komulainen,151,N/A,summer
2885,Rockin' Road Trip,"Comedy, Music",5.6,"Martin meets Samantha, the sister of Nicole who is the leader of a band called ""Chery Suicide"". While Martin and Samantha are beginning a relationship, Nicole is trying to get away from her...                See full summary »",William Olsen,66,N/A,summer
2886,Reetta Robinson,"Drama, Family",6.7,"Parents leave their young daughter and son home alone when they leave on their boat. When engine trouble strands them on an island, the children are left to fend for themselves. The days go by with no rescue in sight.",Raili Rusto,14,N/A,summer
2887,Geronimo,Romance,6.2,"South of France. In the sultry August heat, Geronimo, a young social educator, tries to ease tensions between the youngsters of the St Pierre neighborhood. The mood changes when Nil Terzi, ...                See full summary »",Tony Gatlif,596,N/A,summer
2888,Metsän tarina,"Documentary, Family",6.9,"A documentary that unveils the primeval forests of Northern Finland, some of Europe's sole remaining, old-growth forests.",Kim Saarniluoto,382,N/A,summer
2889,Esa ja Vesa - auringonlaskun ratsastajat,"Action, Adventure, Comedy",5.5,Successful nerd accidentally becomes involved in a bank robbery.,Aleksi Mäkelä,719,N/A,summer
2890,Estate romana,"Comedy, Drama",6.2,Former theatre actress comes back to Rome and meets old and new friends.,Matteo Garrone,302,N/A,summer
2891,80 Blocks from Tiffany's,Documentary,7.6,"Depicts the daily life of gangs within the context of the South Bronx. Deals primarily with two African American and Puerto Rican gangs known as the ""Savage Skulls"" and the ""Savage Nomads"".",Gary Weis,401,N/A,summer
2892,Monster Beach,"Animation, Adventure, Comedy",7.3,"An ordinary summer holiday gets complicated when two kids - Jan and her brother Dean - are packed off to stay with their drop-out uncle, Woody. It should be complete paradise: a secluded ...                See full summary »",Patrick Crawley,48,N/A,summer
2893,Onnen maa,"Comedy, Drama",6.7,"In the 1960s, a family's story is seen from the perspective of a young boy leaving for school.",Markku Pölönen,427,N/A,summer
2894,The Dynamiter,Drama,6.9,"All fourteen-year-old Robbie Hendrick ever wanted was a family. Yet as another Mississippi summer begins, his wayward mother has run off again fearing a breakdown and he's left to burn the ...                See full summary »",Matthew Gordon,606,N/A,summer
2895,Itawari,"Drama, Mystery, Romance",N/A,"A man is forced to face choices between love and loneliness, the past and the present and ultimately, he must choose life or death.",Mark Charles Adams,N/A,N/A,summer
2896,Thiriotrofeio arrenon enantion thileon,Comedy,3.9,"Four mischievous senior high school students looking for a good time will eventually mingle with a group of well-bred and bashful high school girls for a ""cultural"" exchange between social status and teenage awakenings.",Nikos Zervos,30,N/A,summer
2897,Tüzoltó utca 25.,"Drama, History, Romance",6.6,"Hungary's postwar history told through the dreams, nightmares, and memories of the inhabitants of an old house on the eve of it's destruction.",István Szabó,325,N/A,summer
2898,Sommarmord,Thriller,5.0,Sture is a rich alcoholic who has taken a trip to Mallorca to drink himself to death. But he meets Sylvia and they start a relationship. Sture moves in with her in a middle-class community....                See full summary »,Lars Molin,159,N/A,summer
2899,Jag etter vind,Drama,6.3,"When grandma dies, Anna has to go back to what's left of the small family, 10 years after she left. There's she confronted with what she fled from back then.",Rune Denstad Langlo,443,N/A,summer
2900,Nature Baby,"Short, Family, Music",N/A,A video that takes place during the four seasons.,Mark Benjamin,N/A,N/A,summer
2901,High Feather,"Comedy, Drama, Family",8.0,"Chronicles the experiences of eight children at a summer camp in Peekskill, NY in 10, half-hour episodes. The four boys and four girls have a variety of adventures, chiefly centering on ...                See full summary »",Emily Wagner,33,N/A,summer
2902,Top Speed,"Comedy, Musical, Romance",5.8,An order clerk poses as a millionaire.,Mervyn LeRoy,249,N/A,summer
2903,Sombra,"Short, Drama, Mystery",5.7,"Anna feels obliged to visit her childhood friend, Julie on the island of Møn, where Julie still lives with her mother, Sonja. The three women are taking in the sun at the beach, when clouds begin to gather.",Kristian Sejrbo Lidegaard,8,N/A,summer
2904,Yeoleumnal,"Comedy, Romance",N/A,This is about how three people crossing fates come together on a summer day.,Hyun Bin,N/A,N/A,summer
2905,The Doo Dah Man,Drama,6.2,Two lives intersect when a conman running from the police and a college boy running from his past meet on the lonely highways of America's southwest.,Claude Green,141,N/A,summer
2906,Kanikuly v Prostokvashino,"Animation, Short, Adventure",8.2,"When his mom plans a vacation to a resort, little Fyodor runs away to family's cottage house instead, to visit his friends Matroskin the Cat and Sharik the Dog.",Vladimir Popov,2813,N/A,summer
2907,Ghostly Revenge,"Horror, Thriller",7.5,Add a Plot,Gary Castro Churchwell,43,N/A,summer
2908,Kesän maku,Drama,5.2,Liisa arrives on an island to serve as a nurse at a military installation. She needs solitude to reconcile with herself.,Asko Tolonen,36,N/A,summer
2909,Small Town Deb,Comedy,6.7,The youngest in a family of five is fed up with receiving the short end of the stick--so she spends the summer trying to get on her siblings' good sides in order to finally work things to her own advantage.,Harold D. Schuster,10,N/A,summer
2910,Saido kâ ni inu,Drama,6.8,"In this coming of age story, ten-year-old Kaoru's life undergoes big changes when her mother leaves home. Kaoru forms a surprising bond with her father's lover, Yoko, as she learns a lot about life during one unforgettable summer.",Kichitarô Negishi,313,N/A,summer
2911,Spread Your Wings,Drama,N/A,"Six teenagers face many personal trials, in their last summer before adulthood.",Stephen Bryce,N/A,N/A,summer
2912,Sleep Away,"Comedy, Drama, Family",5.8,"Cameron struggles to adjust to the overwhelming experience of his first sleep away camp. Meanwhile, kids and counselors participate in activities, build friendships, and learn new skills. An ensemble time-of-life movie about summer camp.",Tyler Graham Pavey,32,N/A,summer
2913,The Young Don't Cry,"Crime, Drama, Thriller",6.1,A Georgia orphanage teenage boy gets involved with a chain-gang convict who is planning his escape from the nearby prison-camp.,Alfred L. Werker,192,N/A,summer
2914,Verde,"Short, Drama",6.4,"Emilia and Martina have always been inseparable, but when their cousins come over on a hot summer day, Emilia learns that her sister's priorities might be changing.",Victoria Rivera,58,N/A,summer
2915,Gekijo-ban Non Non Biyori: Vacation,"Animation, Adventure, Comedy",7.5,"Summer vacation is drawing to an end. When Suguru wins a free trip to Okinawa, all of the five students of Asahigaoka branch school are excited to end their vacation with a bang. Along with...                See full summary »",Shin'ya Kawatsura,369,N/A,summer
2916,Ani imôto,Drama,7.3,"In Older Brother, Younger Sister, director Mikio Naruse's adaptation of an oft-filmed popular novel by Saisei Murô, the eldest daughter (Machiko Kyô) of a rural family comes home pregnant, ...                See full summary »",Mikio Naruse,451,N/A,summer
2917,Sest dana juna,"Drama, Romance",5.9,Group of young men from a small town in eastern Bosnia must find a way to spend a few days before they join the army.,Dinko Tucakovic,129,N/A,summer
2918,Skjær i sjøen,"Drama, Romance",6.4,"After his divorce, a lone writer receives a summer visit from his daughter and two of her friends. He has for far too long revolved around his own problems falling into dull idleness. But not so old that he can't be touched by young love.",Knut Andersen,101,N/A,summer
2919,My Uncle Mario,"Short, Drama",7.2,"A young boy delivers food in the summer vacation for this mother, who has some sort of a restaurant. Suddenly his uncle Mario, who lives in Italy, visits them by surprise. The boy's life ...                See full summary »",Na'ama Zaltzman,76,N/A,summer
2920,Grand Canyon,"Short, Documentary",7.0,"Scenes from the Grand Canyon set to Ferde Grofé's ""Grand Canyon Suite.""",James Algar,428,N/A,summer
2921,Pullman,"Adventure, Drama, Family",5.8,Two kids experience an initiatory journey during their first day of summer holidays.,Toni Bestard,110,N/A,summer
2922,Atelier Ryza: Ever Darkness & the Secret Hideout,"Action, Adventure, Fantasy",7.0,"The main character is Ryza, an ordinary girl. Tired of boring village life, she escapes the village to gather with her good friends in a secret location to talk of their dreams and plan ...                See full summary »",Shinichi Abiko,31,N/A,summer
2923,De 5 i fedtefadet,"Crime, Family",5.1,"2 boys and 2 girls pack tent etc. on their bikes and go camping at the beach. They bring a German Shepherd. A boy joins them next morning and the ""wrong"" boy gets kidnapped.",Katrine Hedman,157,N/A,summer
2924,Zalamero,"Short, Romance",5.2,"Zalamero is, among other things, a summer movie about Martin's summer. Martin wants it all; all the girls, all the boys, all the sun hours, all the nights, all colors T-shirts. He wants to be the main character of all summers.",Teresa Carril,22,N/A,summer
2925,Sininen viikko,"Drama, Romance",6.7,"A Bergmanesque triangle drama. After a weekend of dancing and camping on a recreation island near the city, a young factory worker decides to stay and cut work for a day. Walking around the...                See full summary »",Matti Kassila,208,N/A,summer
2926,Otra Película de Amor,"Drama, Romance",5.6,"Diego and Sebastián are 2 teenagers, childhood friends that meet again in summer, which gives way to an intense friendship while they get drunk, smoke weed, and roam around the streets, ...                See full summary »",Edwin Oyarce,245,N/A,summer
2927,La Derape,Drama,7.7,The carting season is just over and Julia is already dreaming about next summer and the prestigious elite circuit.,Sébastien Delorme,34,N/A,summer
2928,Suopursu kukkii,"Drama, Romance",4.9,Add a Plot,T.J. Särkkä,42,N/A,summer
2929,Camp Virginovich,"Adventure, Comedy, Fantasy",7.6,"Two helpless high school geeks travel to Russia the summer before their senior year in hopes of losing their virginity at a summer camp that ""guarantees"" they'll get laid.",Michael Carrera,61,N/A,summer
2930,(Re)volt,"Short, Drama",7.2,Add a Plot,Rebecca Holst,6,N/A,summer
2931,Breakfast with Curtis,Drama,6.6,"Syd is an eccentric bookseller with delusions of grandeur fueled by red wine. He caused a rift 5 years ago between his bohemian housemates and the family next door, but now tries to recruit his 14-year-old neighbor as a collaborator.",Laura Colella,253,$0.01M,summer
2932,"Hylätyt talot, autiot pihat","Drama, War",5.5,"Summer 1944 in Finnish Karelia; after a long lull, the Soviet army launches an overwhelming offensive that throws everything into disarray. Martta has barely time to marry Aarne before she ...                See full summary »",Lauri Törhönen,308,N/A,summer
2933,Flokken,"Comedy, Drama, Family",5.0,Add a Plot,Asger Duval Thomsen,8,N/A,summer
2934,Zlaté casy,"Adventure, Drama, War",5.3,Add a Plot,Stefan Uher,14,N/A,summer
2935,The Dales,Documentary,7.4,Adrian Edmondson presents an observational documentary series looking at life in the beautiful Yorkshire Dales during the summer months and meets the people who live and work there.,Adrian Edmondson,17,N/A,summer
2936,Böse Zellen,"Drama, Romance",6.2,"A young Austrian survives the crash of a commercial airliner. Six years later, she's a clerk, a mother, and happy. Then she dies in a car accident. Over the next year, her daughter goes ...                See full summary »",Barbara Albert,548,$0.00M,summer
2937,"Secret Places, Secret Things",Drama,N/A,Secret Places Secret Things is the story of eight people. Four Couples that find themselves at the Mayflower Hotel on a rainy summer night. Each looking for a relationship that will add a meaning to their lives.,Gary Kent,N/A,N/A,summer
2938,Fin d'été,"Comedy, Drama, Romance",5.4,"At the station of Carcassonne, Diane, a pretty blonde, meets Edouard, his friend, whom she has not seen for a year. She was working on her thesis, devoted to the decline of socialism in ...                See full summary »",Arnaud Larrieu,24,N/A,summer
2939,Aatamin puvussa... ...ja vähän Eevankin,Comedy,6.3,"Two young men, Heikki and Jussi, and the local railway stationmaster cause havoc in a small village when a fugitive from prison (Granberg) steals their clothes and they have to run around ...                See full summary »",Matti Kassila,223,N/A,summer
2940,Syndare i sommarsol,Drama,4.7,"In the mid-1920s, four young men and women have decided to spend their summer holiday studying together and have rented a wonderful house in the Swedish archipelago. Rationally, they ...                See full summary »",Daniel Alfredson,169,N/A,summer
2941,Skynd Deg Sakte (Hurry Slowly),Drama,7.4,"Hurry Slowly follows Fiona over a few life-changing summer months on the western coast of Norway, where she juggles the care of her brother, her job at the local ferry and her interest in music.",Anders Emblem,23,N/A,summer
2942,When the Light Comes,"Adventure, Drama, Romance",6.4,A young woman spends an adventurous winter with a trapper on Spitsbergen.,Stijn Coninx,463,N/A,summer
2943,Magic Hour,Comedy,6.0,"Diomidis and Aristeidis, embark on a road trip across rural Greece. Both of them face their personal crisis. Diomidis has just found out that his wife cheated on him, while Aristeidis has problems about his career as a director.",Costas Kapakas,86,N/A,summer
2944,Thinkin' Big,Comedy,3.8,"During spring break, five sexy girls and four randy young men are celebrating on the Gulf Coast of Texas. Everyone is having fun except for the overweight boy named Pud.",S.F. Brownrigg,67,N/A,summer
2945,Truant Officer Donald,"Animation, Family, Comedy",7.2,"Donald catches his nephews swimming on a school day. He thinks he's made an easy catch, but the boys are much more resourceful than that. When he tries to smoke them out of their clubhouse,...                See full summary »",Jack King,869,N/A,summer
2946,"Pro begemota, kotoryy boyalsya privivok","Animation, Short, Comedy",7.3,The story of how dangerous not to treat the disease at an early stage.,Leonid Amalrik,208,N/A,summer
2947,Asfalttilampaat,"Drama, Romance",6.0,"The story of a doomed young love in a small, narrow-minded town.",Mikko Niskanen,249,N/A,summer
2948,Contes de juillet,"Comedy, Drama",6.5,"Paris and its suburbs. Two stories, four girls, four boys, on one summer day that will change their lives forever.",Guillaume Brac,325,N/A,summer
2949,Seklis,Romance,6.3,"Three young couples are trying to figure out love by their own means. The Green one is trying to have their first intimate experience, The Yellow is resisting and The Red is getting a ...                See full summary »",Toms Harjo,22,N/A,summer
2950,El verano del potro,"Family, Drama",6.2,"This award-winning film by André Melançon -- set on a ranch on the pampas of Argentina -- tells the story of three children spending a summer with their grandfather. The youngest, Felipe, ...                See full summary »",André Melançon,125,N/A,summer
2951,Bäxt Üzüyü,"Comedy, Drama",8.4,Moshu's family and other families go to seaside motel and spend their summer vacation. Things get awkward after Sara loses her engagement ring.,Ramiz Azizbayli,594,N/A,summer
2952,75 Degrees in July,Drama,6.0,"The film is set against the sweltering beauty of the Texas countryside, at the ranch estate of a well-to-do family.",Hyatt Bass,124,N/A,summer
2953,Stesso mare stessa spiaggia,Comedy,4.4,Young Italians spend their summer holidays on the Romagna coast.,Angelo Pannacciò,38,N/A,summer
2954,Juillet électrique,"Short, Adventure, Drama",6.2,"In the burning heat of July, Thomas and Victor, two 14 years old teenagers, are bored to death and want to escape. Victor decides to take Thomas to an abandoned bridge. He will have to confront his fears and desires.",Rémi Bigot,171,N/A,summer
2955,Houve uma Vez Dois Verões,"Comedy, Romance",7.1,"A coming of age dramatic comedy dealing with the effect that two ""summers"" have on the lives of several teenagers. The main story involves an innocent teenage boy and a conniving teenage ...                See full summary »",Jorge Furtado,783,N/A,summer
2956,Camp Stories,Comedy,5.3,A man named David Katz remembers the formative summer he spent as a kid in an Orthodox Jewish summer camp.,Herbert Beigel,96,N/A,summer
2957,Love Locker,"Short, Drama",6.0,"Rita and Mino are secretly in love. They have been planning their escape since they were children and now, on the day the railway closes and the last train leaves the town of Lete, they ...                See full summary »",Andreea Cristina Bortun,10,N/A,summer
2958,Désiré,Comedy,7.0,"Shavian social satire. Odette is an actress who's now the mistress of a government minister. Her household of cook, maid, and chauffeur needs a valet. On the eve of going with the minister ...                See full summary »",Sacha Guitry,426,N/A,summer
2959,Winnie the Pooh vs Chikatilo,"Short, Action, Comedy",8.4,"Piglet became a Satanist and called on the spirit of Chikatilo, who moved into the baby. Only Winnie the Pooh can stop the returned maniac.",Sergey A.,15,N/A,summer
2960,Summertime,"Animation, Short, Family",6.9,"Spring is coming, but Old Man Winter isn't ready to retire for the year.",Ub Iwerks,160,N/A,summer
2961,"Oiltown, U.S.A.",Drama,6.0,"When Christine Manning returns to her father's home in Texas for the summer, she soon realizes that he--oil millionaire Les Manning--is disliked and feared as a ruthless businessman by the ...                See full summary »",Dick Ross,32,N/A,summer
2962,Taurunum Boy,Documentary,7.2,"Taurunum boys seem tough. They spend their time hanging around abandoned places, throwing parties and riding bikes. Their dreams are simple and their loves are unrequited. This summer brings them into adulthood.",Dusan Grubin,35,N/A,summer
2963,Heinähattu ja Vilttitossu,Family,6.3,The quirky adventures of Hayflower and her little sister Quiltshoe.,Kaisa Rastimo,646,N/A,summer
2964,Akallinen mies,Comedy,4.7,Add a Plot,Edvin Laine,104,N/A,summer
2965,Strategy and Pursuit,"Drama, Romance, Thriller",7.3,Complicated dynamics between lovelorn friends spark a disturbing chain of events.,Matt Riddlehoover,266,N/A,summer
2966,Som man ropar,"Crime, Thriller",6.3,During August 1943 the Nazis advance is stopped. In Sweden there are both German Gestapo agents and Norwegian Resistance men active.,Tomas Norström,45,N/A,summer
2967,Roberta Lane,"Short, Mystery",9.0,"In a garden of secrets, will Roberta Lane find peace?",Darren James Perry,9,N/A,summer
